original_group_name,masked_group_name
Melija Self,GRP_yvpakgc
Nakalila Jua Kali,GRP_clspiko
Malambisha,GRP_vbohgyv
Samoya,GRP_xgjbrbl
Napara,GRP_kndowuv
Khasolo,GRP_nluqehz
Siilila A,GRP_xdjtfox
Nambuchi,GRP_bymmmez
Bitobo B,GRP_gktedll
Super Excel,GRP_iolbwob
Kitabisi B,GRP_gagqwyg
Sichei A,GRP_drsgavm
Sichei,GRP_jlpogjf
Masaka,GRP_hjvpuyd
Santos,GRP_firnfpx
Moonlight Shg,GRP_tqciwdw
Namasa,GRP_yzuwfvy
Namono,GRP_dcvyekk
Simana,GRP_rtvoayt
Khachonge,GRP_acuzflx
Siritanyi,GRP_ixkqect
Sibembe,GRP_ngcueti
Sibata,GRP_tksnukr
Nambaya,GRP_rbhabww
Yetana Sulwe,GRP_sxvtnkc
Sio Zone,GRP_cqzhocv
Nangeni Group,GRP_olyhoei
Nakhwana Group,GRP_qtptebx
Tuuti Group,GRP_ysqrujl
Namasa Star,GRP_mktvqef
Yetana,GRP_ejvqctk
Sioya,GRP_klcdeie
Maramu B,GRP_loatfhh
Kimwanga Action,GRP_jconfom
Nambaya Sichei,GRP_imbnvjk
Tembelesha,GRP_dzbipdh
Namamuka,GRP_dccxsmz
Namasanda,GRP_jgvrnuk
Cddc,GRP_ayaxdxf
Netima,GRP_rwvzomg
Emuria Salaams,GRP_bicrviw
Bititi,GRP_rnbsekn
Maramu,GRP_vhvmkaw
Njinyosie,GRP_qjiizdk
Napara B,GRP_ckzrgob
Kimaeti Group,GRP_ckrlhgu
Kinasaki,GRP_moqiudu
Bosio,GRP_kougaah
Remwa,GRP_htlgsci
Tulukuyi,GRP_nxsyvbc
Sikaya,GRP_qwuzuwl
Bitobo,GRP_dxsbpat
Nyota,GRP_mfquznu
Kag,GRP_loxmcmt
Sango,GRP_aonxtgu
Nasi A,GRP_upnbdae
Nangata,GRP_pbcqqmu
Juhudi,GRP_kjdjkfh
Nangeni,GRP_bdafnyt
Mlimani,GRP_rwwcubo
Nakalila,GRP_ojctnae
Wekelekha,GRP_ivnuzca
Nasaka,GRP_nbhirzh
Tabala,GRP_cfnitis
Luuhya,GRP_wrtrynl
Basisi,GRP_ffsqnqr
Sulwe Salaams,GRP_xambydc
Mumeme Youth Group,GRP_aqpxsqa
Myanga,GRP_npenwcv
New Generation,GRP_vhvecgk
Siyengo,GRP_repkosc
Khakakho,GRP_xlewlho
Bethsaida,GRP_tmiknkj
Sango A,GRP_ebimopl
Bukirimo,GRP_ijjoocr
Galilaya,GRP_zpacrei
Camel View,GRP_zwpoerh
Gccm Group,GRP_coijiqm
Siombe A,GRP_inbzgdw
Emuria,GRP_xkfmuby
Siri Zone,GRP_qectpwr
Siboti,GRP_tehowtp
Nasimbo,GRP_nhjomvb
Lwanja Upendo Group,GRP_esyjwmz
Kamurumba,GRP_uekuuwe
Namutenga,GRP_nbmybsa
Galiya Shg,GRP_zlwafns
Mupeli Siliki,GRP_qutcnhw
Neema,GRP_pdtzumy
Napara Salaams,GRP_enndutd
Nakalila A,GRP_bsgbpsa
Sichei B,GRP_jbzdlgl
Siboti B,GRP_lqsoink
Ngosia,GRP_hzoduzb
Tulukuyi B,GRP_qawxxsf
Siilila,GRP_yekwcoa
Sindani,GRP_xvieliz
Siombe,GRP_nonafyl
Iteso Group,GRP_ewwndez
Khulime Shg,GRP_gintkkw
Ngachi,GRP_soyegif
Kolosawa,GRP_uzfxvrj
Masielo C,GRP_zqnwrla
Tumaini,GRP_tislsdx
Myanga Youths,GRP_jifchgr
Siboti A Group,GRP_gvbkzci
Myanga Youth Group,GRP_jisgjxt
Napara C,GRP_yyvildn
Malakisi,GRP_zoinarm
Camelo,GRP_krdqivq
Basale,GRP_sanhusj
Syoya,GRP_vvcvpzm
Matisi,GRP_mnlydov
Kimwanga,GRP_emnigqc
Iteso,GRP_oqvfspx
