original_subcounty,masked_subcounty
Kanduyi,SUB_lpotuuf
Bumula,SUB_hdsoyfn
Kabuchai,SUB_ywivmgg
Mosop,SUB_vnahfhi
Chesumei,SUB_mdyljqn
Nandi Hills,SUB_lmvqqmw
Emgwen,SUB_rihpnav
Kapseret,SUB_ciorqql
Soy,SUB_uegsvvu
Select Your Sub County,SUB_ukvekne
Alego Usonga,SUB_sxusspx
Gem,SUB_creyyqh
Bondo,SUB_dtxnnxj
Ugunja,SUB_bvliimx
Ugenya,SUB_njmuzmo
Rarieda,SUB_itqeeoo
Saboti,SUB_ddnxwiw
Kwanza,SUB_ccrxvdv
Cherangany,SUB_umdmkvm
Matungulu,SUB_jchavji
Kangundo,SUB_jsjdatk
Mwala,SUB_hhvondn
Kathiani,SUB_forsajb
Machakos Town,SUB_brifgee
North Mugirango,SUB_nrjsgty
Kabete,SUB_kzfscqo
Kikuyu,SUB_twzhvtx
Githunguri,SUB_mqwodkp
Limuru,SUB_ojxwkxf
Kajiado Central,SUB_xdunkik
Kiambu,SUB_lezqkwu
Chuka/Igambangombe,SUB_qosvkus
Sotik,SUB_dhaaasn
Chepalungu,SUB_pvhpxyl
