original_ward,masked_ward
West Sangalo,WRD_lpotuufh
Kimaeti,WRD_dsoyfnyw
Musikoma,WRD_ivmggvna
Mukuyuni,WRD_hfhimdyl
Marakaru/Tuuti,WRD_jqnlmvqq
Bumula,WRD_mwrihpna
Kabuchai/Chwele,WRD_vciorqql
West Bukusu,WRD_uegsvvuu
Kabula,WRD_kveknesx
Siboti,WRD_usspxcre
Bwake/Luuya,WRD_yyqhdtxn
Bukembe East,WRD_nxjbvlii
South Bukusu,WRD_mxnjmuzm
Bukembe West,WRD_oitqeeoo
Khalaba,WRD_ddnxwiwc
East Sangalo,WRD_crxvdvum
Township,WRD_dmkvmjch
Kabisaga,WRD_avjijsjd
Lelmokwo Ngechek,WRD_atkhhvon
Ndalat,WRD_dnforsaj
Kosirai,WRD_bbrifgee
Chepkunyuk,WRD_nrjsgtyk
Kabiyet,WRD_zfscqotw
Kilibwoni,WRD_zhvtxmqw
Simat Kapseret,WRD_odkpojxw
Kaptel/Kamoiywo,WRD_kxfxdunk
Kurgung/Surungai,WRD_iklezqkw
Chemundu/Kapngetuny,WRD_uqosvkus
Kipkaren,WRD_dhaaasnp
Mois Bridge,WRD_vhpxylan
Sangalo Kebulonik,WRD_dyoowidn
Chepterwai,WRD_exugodtd
Select Your Ward,WRD_jshfcvgs
Soy,WRD_dwqnohxl
Central Alego,WRD_vwitnmkx
North Alego,WRD_jeznoqyg
Siaya Township,WRD_faucaydw
West Alego,WRD_qeiynxtw
Central Gem,WRD_bucndobw
South East Alego,WRD_ndkrworp
Yala Township,WRD_yddrawjl
North Sakwa,WRD_mdffbpzb
Sigomere,WRD_nbtvxxev
North Ugenya,WRD_lmghzyox
West Uyoma,WRD_dluhulbr
Ugunja,WRD_ognfstan
East Asembo,WRD_sltwqcig
South Gem,WRD_mxnzbymq
East Gem,WRD_cphsmzmz
Matisi,WRD_csjbenhy
Kwanza,WRD_zgclucbo
Makutano,WRD_ccjsbezb
Tuwani,WRD_crjodmig
Kinyoro,WRD_zibvmycv
Saboti,WRD_ejlxopjr
Matungulu East,WRD_ewbkpzpx
Tala,WRD_zidfbzvh
Matungulu West,WRD_kmaqgnin
Kangundo Central,WRD_cdhsrdxp
Matungulu North,WRD_mymgodzd
Kangundo North,WRD_ssbsejju
Kangundo West,WRD_htgefokm
Masii,WRD_asdrousq
Kangundo East,WRD_gmlvebty
Mitaboni,WRD_jcidqrbp
Mbiuni,WRD_maunwklt
Kyeleni,WRD_fetyzbpx
Mutituni,WRD_llyxjihd
Bomwagamo,WRD_gwikueno
Kabete,WRD_yktslafp
Kikuyu,WRD_bnfrgvit
Karai,WRD_wdjchnle
Kinoo,WRD_rpdfrlaw
Gitaru,WRD_haicphjz
Nachu,WRD_dookztxz
Sigona,WRD_gvxkhont
Ikinu,WRD_epfjdtkr
Ngewa,WRD_fnbkmwkv
Ndeiya,WRD_hkgcmenl
Uthiru,WRD_wdksvqjm
Ngecha Tigoni,WRD_rabbaiwn
Bibirioni,WRD_rfzjlvyw
Limuru Central,WRD_cdndmzyb
Muguga,WRD_iiulkngu
Githiga,WRD_hujmmvec
Matapato South,WRD_zpyjeswu
Limuru East,WRD_ruphprud
Githunguri,WRD_rkxlecfb
Komothai,WRD_hyderkig
Sinyerere,WRD_xgszjwzi
Mariani,WRD_sogzltvv
Ndanai/Abosi,WRD_emtehozd
Chemagel,WRD_xepcbsxb
Siongiroi,WRD_oqksptot
Kipsonoi,WRD_iuesnnte
